"Code","Name","Category","Unit","Current Stock","Minimum Stock","Cost","Price","Current Stock Value","Current Stock Cost","Amount Sold","Quantity Sold","Profit","Image_Path"
"","Filtro São João 8 litros","Diversos","unit","0",0,"46.9","69.9","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\filtro_s_o_jo_o_8_litros.webp"
"7896902218413","Óleo Semente de Uva 30ml c/ 12","Farmax ","unit","0",0,"8.9","14.49","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\_leo_semente_de_uva_30ml_c__12.webp"
"7898906795068","Xarope Agrião Farmel","Suplementos ","unit","0",0,"2.92","5.9","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\xarope_agri_o_farmel.webp"
"","Depilsam Lenços de Depilação c/ 100 Lenços","Depilação ","unit","0",0,"2.94","4.75","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\depilsam_len_os_de_depila__o_c__100_len_os.webp"
"7898213880686","Bala Própolis Natus Minas - pote com 25 bags ","Balas","unit","0",0,"27.99","39.99","0","0",0,0,0,""
"","Volia Oleo de Melon Hidratante de Cutícula ","Produtos de Unha ","unit","0",0,"6.29","8.95","0","0",0,0,0,""
"7898964247097","Volia Primer Nail Bonder ","Produtos de Unha ","unit","0",0,"6.47","9.15","0","0",0,0,0,""
"","Volia Desidratador de Unhas ","Produtos de Unha ","unit","0",0,"4.01","5.65","0","0",0,0,0,""
"","Volia Top Coat Selante Brilho","Produtos de Unha ","unit","0",0,"10.23","14.5","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\volia_top_coat_selante_brilho.webp"
"","Volia Top Coat Selante Silver ","Produtos de Unha ","unit","0",0,"10.23","14.5","0","0",0,0,0,""
"","Novex Super Aloe Vera Condicionador 10oz","Novex ","unit","90",0,"2.25","3.4","306","202.5","20.4","6","6.9","C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\novex_super_aloe_vera_condicionador_10oz.webp"
"","Novex Super Aloe Vera Hair Mask 1kg ","Novex ","unit","54",0,"4.75","7.15","386.1","256.5",0,0,0,""
"","Novex Super Aloe Vera Hair Mask 14oz","Novex ","unit","10",0,"2.4","3.6","36","24",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\novex_super_aloe_vera_hair_mask_14oz.webp"
"","Novex Super Aloe Vera Shampoo 10oz ","Novex ","unit","84",0,"2.25","3.4","285.599","189","20.4","6","6.9",""
