"Code","Name","Category","Unit","Current Stock","Minimum Stock","Cost","Price","Current Stock Value","Current Stock Cost","Amount Sold","Quantity Sold","Profit"
"","Manteiga de Cascavel ","Farmácia ","unit","70",0,"5","7.5","525","350",0,0,0
"","Pomada Negra 200ml","Farmácia ","unit","12",0,"6","8.9","106.800","72",0,0,0
"","Óleo de Copaíba com 12 unidades ","Farmácia ","unit","0",0,"12","19.99","0","0","19.99","1","7.99"
"","Tslx c/3 Cartela","Farmácia ","unit","0",0,"18","29.9","0","0","1,524.9","51","606.9"
"","Canecão 1.5 lts cabo de plástico","Cozinha ","unit","3",0,"7.29","7.29","21.87","21.87","182.25","25",0
"","Bngp.  com 25 cartela","Farmácia ","unit","19",0,"130","130","2470","2470","2,860","22",0
"","Palito de Unhas Paraju Chanfrado c/100","Produtos de Unha ","unit","5",0,"57.59","78.72","393.6","287.950",0,0,0
"","Skala Creme Café Verde e Ucuuba 1Kg","","unit","0",0,"17.99","20.9","0","0","192.49","10","12.59"
"","Sudagrip - c/100 cap","","unit","0",0,"23","34.5","0","0","172.5","5","57.5"
"","Sudagrip - chá c/25 Sachê ","","unit","0",0,"25","37.5","0","0","187.5","5","62.5"
"","Capilo Hand Sanitizer 8oz","","unit","84",0,"2.05","3.29","276.36","172.2",0,0,0
"","Resfregrip Sinus 24 comprimidos","Farmácia ","unit","0",0,"8","13.9","0","0","1,086.1","79","454.1"
"","Buprovil Ibuprofeno 600mg","Farmácia ","unit","315",0,"8","12.9","4063.5","2520","1,393.2","108","529.2"
"","Pomada Cimecorte","Farmácia ","unit","52",0,"14","19.75","1027","728","296.25","15","86.25"
"","Rosa Mosqueta Óleo - Avvio - unidade","Óleo ","unit","460",0,"6","8.49","3905.4","2760","50.94","6","14.94"
"","Manteiga de Cacau Trol","Farmácia ","unit","53",0,"38","56.95","3018.350","2014",0,0,0
"","Passiflora Aurelia/Maracujá","Farmácia ","unit","78",0,"8","12.9","1006.2","624","348.3","27","132.3"
"","Aberalgina Dipirona Gotas","Farmácia ","unit","0",0,"6","9.9","0","0","594","60","234"
"","Vitamina B12 Concentrada 60 cápsulas","Suplementos ","unit","123",0,"8","12.95","1592.85","984","401.46","32","145.46"
"","Vitamina Black Horse Midnight 30 comprimidos ","Farmácia ","unit","177",0,"12","17.95","3177.15","2124","53.85","3","17.85"
"","Dove Desodorante Classic Stick 50ml c/12","","unit","0",0,"14.76","22.95","0","0","109.75","4","37.47"
